BetaShares Portfolio Holdings,,,,,,,,,,
,,,,,,,,,,
Fund Name,BetaShares Australia 200 ETF,,,,,,,,,
Fund ASX Code,A200,,,,,,,,,
Date,2023-02-17,,,,,,,,,
,,,,,,,,,,
Ticker,SEDOL,Name,Asset Class,Sector,Country,Currency,Weight (%),Shares/Units (#),Market Value (AUD),Notional Value (AUD)
ORA AT,BH4TCW7,ORORA LTD,Equities,Materials,Australia,AUD,0.001343,1052136,3608826.48,3608826.48
PPT AT,6682394,PERPETUAL LTD,Equities,Financials,Australia,AUD,0.001338,133630,3597319.6,3597319.6
RGN AT,BPBMY63,REGION RE LTD,Equities,Real Estate,Australia,AUD,0.001336,1403226,3592258.56,3592258.56
SFR AT,6739739,SANDFIRE RESOURCES LTD,Equities,Materials,Australia,AUD,0.001295,554240,3480627.2,3480627.2
CIA AT,BLD1SB3,CHAMPION IRON LTD,Equities,Materials,Australia,AUD,0.001286,461421,3456043.29,3456043.29
NHC AT,6681960,NEW HOPE CORP LTD,Equities,Energy,Australia,AUD,0.00124,641076,3333595.2,3333595.2
RWC AT,BD1DM79,RELIANCE WORLDWIDE CORP LTD,Equities,Industrials,Australia,AUD,0.001239,956965,3330238.2,3330238.2
DOW AT,6465573,DOWNER EDI LTD,Equities,Industrials,Australia,AUD,0.001229,838450,3303493,3303493
PRU AT,B02FBC1,PERSEUS MINING LTD,Equities,Materials,Australia,AUD,0.001191,1702255,3200239.4,3200239.4
SGM AT,B0LCW75,SIMS LTD,Equities,Materials,Australia,AUD,0.001182,198258,3178075.74,3178075.74
PMV AT,6699781,PREMIER INVESTMENTS LTD,Equities,Consumer Discretionary,Australia,AUD,0.001156,113842,3107886.6,3107886.6
VEA AT,BYQM3N1,VIVA ENERGY GROUP LTD,Equities,Energy,Australia,AUD,0.001156,1032079,3106557.79,3106557.79
CSR AT,6238645,CSR LTD,Equities,Materials,Australia,AUD,0.001128,578773,3032770.52,3032770.52
NSR AT,BGP6479,NATIONAL STORAGE REIT,Equities,Real Estate,Australia,AUD,0.001126,1266924,3027948.36,3027948.36
VUK AT,BJXCLP7,VIRGIN MONEY UK PLC,Equities,Financials,Australia,AUD,0.001122,960556,3016145.84,3016145.84
WEB AT,6015815,WEBJET LTD,Equities,Consumer Discretionary,Australia,AUD,0.00112,439362,3009629.7,3009629.7
AUB AT,B0MBNC3,AUB GROUP LTD,Equities,Financials,Australia,AUD,0.001106,114477,2972967.69,2972967.69
ARB AT,BWV03W5,ARB CORP LTD,Equities,Consumer Discretionary,Australia,AUD,0.001094,93019,2939400.4,2939400.4
TAH AT,6873262,TABCORP HOLDINGS LTD,Equities,Consumer Discretionary,Australia,AUD,0.001092,2823408,2936344.32,2936344.32
BPT AT,6088204,BEACH ENERGY LTD,Equities,Energy,Australia,AUD,0.001078,1950838,2896994.43,2896994.43
CQR AT,6225595,CHARTER HALL RETAIL REIT,Equities,Real Estate,Australia,AUD,0.001059,715171,2846380.58,2846380.58
PXA AT,BMD0WJ3,PEXA GROUP LTD,Equities,Real Estate,Australia,AUD,0.001053,215999,2831746.89,2831746.89
HVN AT,6173508,HARVEY NORMAN HOLDINGS LTD,Equities,Consumer Discretionary,Australia,AUD,0.001046,677306,2810819.9,2810819.9
